mdb_source_id,data_type,entity_type,location.country_code,location.country_name,location.subdivision_name,location.municipality,provider,name,note,feed_contact_email,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features,redirect.id,redirect.comment,region_and_agency,location_and_agency,location&agency_tally
712,gtfs,NA,CA,Canada,Alberta,Calgary,Calgary Transit,NA,NA,NA,NA,https://data.calgary.ca/download/npk7-z3bj/application%2Fzip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-alberta-calgary-transit-gtfs-712.zip?alt=media,https://data.calgary.ca/stories/s/u45n-7awa/,50.854661,51.184083,-114.269483,-113.821508,2022-03-16T22:05:29Z,NA,NA,NA,NA,Alberta>Calgary Transit,Canada>Alberta>Calgary Transit,1
714,gtfs,NA,CA,Canada,Alberta,Edmonton,Edmonton Transit System,NA,NA,ets-gtfs@edmonton.ca,NA,https://gtfs.edmonton.ca/TMGTFSRealTimeWebService/GTFS/GTFS.zip,0,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-alberta-edmonton-transit-system-gtfs-714.zip?alt=media,https://data.strathcona.ca/Transportation/Transit-Bus-Schedule-GTFS-Data-Feed-Zip-File/2ek5-rxs5/data?no_mobile=true,53.302688,53.704407,-113.934884,-113.218139,2022-03-16T22:06:03Z,NA,fares-v1|pathways,NA,NA,Alberta>Edmonton Transit System,Canada>Alberta>Edmonton Transit System,1
1278,gtfs,NA,CA,Canada,Alberta,Grande Prairie,Grande Prairie Transit,NA,NA,NA,NA,https://transitfeeds.com/p/grande-prairie-transit/1255/latest/download,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-alberta-grande-prairie-transit-gtfs-1278.zip?alt=media,NA,55.1364482604836,55.1998543176981,-118.858995480986,-118.758170437994,2022-03-24T00:18:20Z,NA,NA,NA,NA,Alberta>Grande Prairie Transit,Canada>Alberta>Grande Prairie Transit,1
765,gtfs,NA,CA,Canada,Alberta,Lethbridge,Lethbridge Transit,NA,NA,NA,NA,https://www.lethbridge.ca/OpenDataSets/GTFS_Transit_Data.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-alberta-lethbridge-transit-gtfs-765.zip?alt=media,NA,49.6515019030274,49.7383759759889,-112.913215781046,-112.781255112961,2022-03-17T13:16:43Z,deprecated,NA,1997,NA,Alberta>Lethbridge Transit,Canada>Alberta>Lethbridge Transit,2
1997,gtfs,NA,CA,Canada,Alberta,Lethbridge,Lethbridge Transit,NA,NA,NA,NA,https://gis.lethbridge.ca/OpenData/DataSets/GTFS_Transit_Data.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-alberta-lethbridge-transit-gtfs-1997.zip?alt=media,https://opendata.lethbridge.ca/pages/open-data-license,49.6515019030274,49.7383759759889,-112.913215781046,-112.781255112961,2024-02-22T03:59:00Z,NA,NA,NA,NA,Alberta>Lethbridge Transit,Canada>Alberta>Lethbridge Transit,2
713,gtfs,NA,CA,Canada,Alberta,Red Deer,Red Deer Transit,NA,NA,NA,NA,https://webmap.reddeer.ca/transit/google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-alberta-red-deer-transit-gtfs-713.zip?alt=media,NA,52.204934,52.315697,-113.859632,-113.746221,2022-03-16T22:05:39Z,deprecated,NA,1992,NA,Alberta>Red Deer Transit,Canada>Alberta>Red Deer Transit,2
1992,gtfs,NA,CA,Canada,Alberta,Red Deer,Red Deer Transit,NA,NA,NA,NA,https://data.reddeer.ca/datasets/gtfsdatafeed/download/zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-alberta-red-deer-transit-gtfs-1992.zip?alt=media,NA,52.204934,52.315697,-113.859632,-113.746221,2024-02-22T03:58:46Z,NA,NA,NA,NA,Alberta>Red Deer Transit,Canada>Alberta>Red Deer Transit,2
711,gtfs,NA,CA,Canada,Alberta,Banff,Roam Transit,NA,NA,NA,NA,http://data.trilliumtransit.com/gtfs/roamtransit-banff-ab-ca/roamtransit-banff-ab-ca.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-alberta-roam-transit-gtfs-711.zip?alt=media,NA,50.8997692685086,51.4252040530679,-116.212714404789,-114.0599361464,2022-03-16T22:05:18Z,NA,fares-v1,NA,NA,Alberta>Roam Transit,Canada>Alberta>Roam Transit,1
1297,gtfs,NA,CA,Canada,Alberta,Edmonton,Strathcona County Transit,NA,NA,NA,NA,https://transitfeeds.com/p/strathcona-county-transit/364/latest/download,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-alberta-strathcona-county-transit-gtfs-1297.zip?alt=media,https://data.strathcona.ca/Transportation/Strathcona-County-Transit-Bus-Schedule-GTFS-Data-F/2ek5-rxs5,53.5095,53.568069,-113.525439,-113.250891,2022-03-24T00:26:13Z,inactive,NA,NA,NA,Alberta>Strathcona County Transit,Canada>Alberta>Strathcona County Transit,1
1978,gtfs,NA,CA,Canada,Bc,Gabriola Island,GERTIE (Gabriola Community Bus),NA,NA,NA,NA,https://drive.usercontent.google.com/download?id=1HOuJU_5SLttet9NDw_PmvW6gZKwatWl_&export=download&authuser=0,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-bc-gertie-gabriola-community-bus-gtfs-1978.zip?alt=media,https://creativecommons.org/licenses/by-nc/4.0/,49.128238,49.199408,-123.864369,-123.702064,2024-02-02T03:58:16Z,NA,NA,NA,NA,Bc>GERTIE (Gabriola Community Bus),Canada>Bc>GERTIE (Gabriola Community Bus),1
690,gtfs,NA,CA,Canada,British Columbia,Vancouver,BC Ferries,NA,NA,support+test+bcferries-bc-ca@trilliumtransit.com,NA,http://data.trilliumtransit.com/gtfs/bcferries-bc-ca/bcferries-bc-ca.zip,0,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-ferries-gtfs-690.zip?alt=media,NA,48.5772095826738,54.2977845717889,-132.010339,-123.12942224916,2022-03-16T22:04:07Z,NA,NA,NA,NA,British Columbia>BC Ferries,Canada>British Columbia>BC Ferries,1
691,gtfs,NA,CA,Canada,British Columbia,Campbell River,BC Transit (Campbell River Transit),NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/campbell-river.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-campbell-river-transit-gtfs-691.zip?alt=media,NA,49.869973,50.063857,-125.286389,-125.129018,2022-03-16T22:04:08Z,NA,NA,NA,NA,British Columbia>BC Transit (Campbell River Transit),Canada>British Columbia>BC Transit (Campbell River Transit),1
697,gtfs,NA,CA,Canada,British Columbia,Abbotsford,BC Transit (Central Fraser Valley Transit System),NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/central-fraser-valley.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-central-fraser-valley-transit-system-gtfs-697.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.004222,49.158304,-122.470676,-122.214539,2022-03-16T22:04:59Z,NA,NA,NA,NA,British Columbia>BC Transit (Central Fraser Valley Transit System),Canada>British Columbia>BC Transit (Central Fraser Valley Transit System),1
699,gtfs,NA,CA,Canada,British Columbia,Chilliwhack,BC Transit (Chilliwack),NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/chilliwack.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-chilliwack-gtfs-699.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.082095,49.382539,-122.080467,-121.419945,2022-03-16T22:05:01Z,NA,NA,NA,NA,British Columbia>BC Transit (Chilliwack),Canada>British Columbia>BC Transit (Chilliwack),1
693,gtfs,NA,CA,Canada,British Columbia,Comox Valley,BC Transit (Comox Valley Transit System),NA,NA,NA,NA,http://comox.mapstrat.com/current/google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-comox-valley-transit-system-gtfs-693.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.472244,49.873376,-125.147712,-124.795209,2022-03-16T22:04:14Z,NA,NA,NA,NA,British Columbia>BC Transit (Comox Valley Transit System),Canada>British Columbia>BC Transit (Comox Valley Transit System),1
694,gtfs,NA,CA,Canada,British Columbia,NA,BC Transit (Cowichan Valley Regional Transit System),NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/cowichan-valley.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-cowichan-valley-regional-transit-system-gtfs-694.zip?alt=media,NA,48.418266,48.998334,-124.218623,-123.364449,2022-03-16T22:04:16Z,NA,NA,NA,NA,British Columbia>BC Transit (Cowichan Valley Regional Transit System),Canada>British Columbia>BC Transit (Cowichan Valley Regional Transit System),1
706,gtfs,NA,CA,Canada,British Columbia,Cranbrook,BC Transit (Cranbrook),NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/cranbrook.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-cranbrook-gtfs-706.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.489582,49.53763,-115.783128,-115.739014,2022-03-16T22:05:13Z,NA,NA,NA,NA,British Columbia>BC Transit (Cranbrook),Canada>British Columbia>BC Transit (Cranbrook),1
710,gtfs,NA,CA,Canada,British Columbia,Dawson Creek,BC Transit (Dawson Creek Transit System),NA,NA,NA,NA,https://bct.tmix.se/Tmix.Cap.TdExport.WebApi/gtfs/?operatorIds=27,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-dawson-creek-transit-system-gtfs-710.zip?alt=media,NA,55.7387,55.77627,-120.25691,-120.20964,2022-07-26T16:25:48Z,NA,NA,NA,NA,British Columbia>BC Transit (Dawson Creek Transit System),Canada>British Columbia>BC Transit (Dawson Creek Transit System),1
